No,名称,よみ,別名,別名よみ,山脈,標高,緯度,経度,都道府県,山域,備考
1009,上福根山,かみふくねやま,,,,1646,32.47333333,130.9469444,熊本県,九州山地,
1010,江代山,えしろやま,津野岳,つのだけ,,1607,32.37055556,131.0761111,熊本県 宮崎県,九州山地,
1011,市房山,いちふさやま,,,,1721,32.31166667,131.1011111,熊本県 宮崎県,九州山地,日本二百名山
1012,石堂山,いしどうやま,,,,1547,32.30027778,131.1677778,宮崎県,九州山地,
1013,尾鈴山,おすずやま,,,,1405,32.29916667,131.4266667,宮崎県,九州山地,日本二百名山
1014,仰烏帽子山,のけえぼしやま,,,,1302,32.37138889,130.7777778,熊本県,九州山地,
1015,白髪岳,しらがだけ,,,,1417,32.15027778,130.9433333,熊本県,九州山地,
1016,国見山,くにみやま,,,,969,32.18777778,130.6141667,熊本県,九州山地,
1017,矢筈岳,やはずだけ,,,,687,32.12277778,130.4005556,熊本県 鹿児島県,九州山地,
1018,紫尾山,しびさん,上宮山,じょうぐさん,,1067,31.98083333,130.3675,鹿児島県,九州山地,
1019,鰐塚山,わにつかやま,,,,1118,31.76888889,131.2694444,宮崎県,九州南部,
1020,韓国岳,からくにだけ,,,霧島,1700,31.93416667,130.8616667,宮崎県 鹿児島県,九州南部,日本百名山
1021,新燃岳,しんもえだけ,,,霧島,1421,31.90944444,130.8863889,宮崎県 鹿児島県,九州南部,
1022,高千穂峰,たかちほのみね,,,霧島,1574,31.88638889,130.9188889,宮崎県,九州南部,日本二百名山
1023,高隈山,たかくまやま,,,,1236,31.48611111,130.8186111,鹿児島県,九州南部,
1024,御岳,おんたけ,,,,1182,31.46027778,130.8205556,鹿児島県,九州南部,☓
1025,甫与志岳,ほよしだけ,,,,967,31.26416667,130.99,鹿児島県,九州南部,
1026,稲尾岳,いなおだけ,,,,930,31.12333333,130.8847222,鹿児島県,九州南部,
1027,桜島,さくらじま,御岳,おんたけ,,1117,31.5925,130.6566667,鹿児島県,九州南部,日本二百名山
1028,八重山,やえやま,,,,677,31.73444444,130.4483333,鹿児島県,九州南部,
1029,冠岳,かんむりだけ,西岳,にしだけ,,516,31.74861111,130.3311111,鹿児島県,九州南部,
1030,熊ヶ岳,くまがたけ,,,,590,31.45527778,130.4638889,鹿児島県,九州南部,
1031,金峯山,きんぽうざん,,,,636,31.46777778,130.3830556,鹿児島県,九州南部,
1032,野間岳,のまだけ,,,,591,31.40444444,130.1583333,鹿児島県,九州南部,
1033,開聞岳,かいもんだけ,,,,924,31.18,130.5283333,鹿児島県,九州南部,日本百名山
1034,倉岳,くらだけ,,,,682,32.42777778,130.3269444,熊本県,天草諸島,
1035,角山,かどやま,,,,526,32.39944444,130.0938889,熊本県,天草諸島,
1036,尾岳,おたけ,,,,604,31.72305556,129.7394444,鹿児島県,甑島列島,
1037,天女ヶ倉,あまめがくら,,,,238,30.74361111,131.0533333,鹿児島県,種子島,
